"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"291776241588137984","","","291639684008927232","14109167","2013-01-17 05:17:31 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","RT @flowingdata: A mysterious patch of light shows up in the North Dakota dark http://t.co/6oazvgwE","http://n.pr/VKlvE8"
"291773693670076416","","","291695931013873664","14085070","2013-01-17 05:07:24 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","RT @carlzimmer: Over at Nature, @edyong209 reports on the latest fecal transplant win. http://t.co/pWBmPjCM Mode of delivery is…interesting.","http://bit.ly/Ya72Ux"
"291614306892673024","","","","","2013-01-16 18:34:03 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","I'm able to use @Streamified to access [some of] my social networks and blogs from any computer or mobile device via http://t.co/prPsNXim","http://fave.co/10lzrW3"
"291603928745930752","","","","","2013-01-16 17:52:49 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","RT @healthmap: #DiseaseDaily Flu Widespread in 47 States - note that the vaccine map doesn't know about our shortages. http://t.co/eJVBE6AS","http://streamified.me/l/t07egrd4"
"291596670276366337","","","291583837123784705","16467567","2013-01-16 17:23:58 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","RT @reason: What is the Second Biggest Cause of Man-Made Global Warming? http://t.co/FRAaqX4j","http://ow.ly/2uiw1R"
"291596282873667585","","","","","2013-01-16 17:22:26 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","The wildly inaccurate wait times at the RMV have given me a chance to get Streamified configured &amp; crossposting. http://t.co/prPsNXim","http://fave.co/10lzrW3"
"289404112590761984","","","","","2013-01-10 16:11:31 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","John Derbyshire Wonders: Is HBD Over? http://t.co/rJNTx2ka","http://www.vdare.com/print/27639"
"289043334956187648","","","","","2013-01-09 16:17:55 +0000","<a href=""http://itunes.apple.com/us/app/feedly/id396069556?mt=8&uo=4"" rel=""nofollow"">feedly on iOS</a>","The dawn of dairy: ""Dienekes’ Anthropology Blog: Evidence for 6th millennium BC cheese"" http://t.co/SL5R5egi","http://feedly.com/k/ZHjP0D"
"287035996820865024","","","","","2013-01-04 03:21:29 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","Our heat went out a few hours ago. It's supposed to be 20 degrees F all night."
"286178314379476994","","","","","2013-01-01 18:33:21 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Check out the BugMe! app - jot down tasks in your own handwriting that bug you until you do them.  http://t.co/jDLDof8D","http://bit.ly/bugmeapp"
"258345474237542400","","","","","2012-10-16 23:15:35 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","I think so.  RT @mattcad: Was that an #earthquake I just felt in Boston/Somerville?"
"256506282641616898","","","","","2012-10-11 21:27:18 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Physics, Economics, and Hurricane Arguments http://t.co/vuCeqCxC","http://daviddfriedman.blogspot.com/2012/09/physics-economics-and-hurricane.html"
"256504651946545153","","","","","2012-10-11 21:20:49 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","How to Opt Out of Interest-Based Ads From the iAd Network [via Daring Fireball] http://t.co/iDknmSKx","http://support.apple.com/kb/HT4228?viewlocale=en_US&locale=en_US"
"256503936113053697","","","","","2012-10-11 21:17:58 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","★ Kindle Paperwhite "" It still looks like the output of a fax machine or a decrepit laser printer with a fading fuser."" http://t.co/QbPIP1li","http://daringfireball.net/2012/10/kindle_paperwhite"
"249939447032979457","","","249387646273609729","25166438","2012-09-23 18:33:02 +0000","<a href=""http://www.flipboard.com"" rel=""nofollow"">Flipboard</a>","RT @dienekesp: Structural stability and ancient connections between languages: 

From the press release:
Using a large database... http: ..."
"249880969715257344","","","","","2012-09-23 14:40:40 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","PassBook finally opened on my updated iPhone but there were no good apps... #ios6"
"249127710817923072","","","248796845025935360","34347535","2012-09-21 12:47:29 +0000","<a href=""http://www.flipboard.com"" rel=""nofollow"">Flipboard</a>","RT @StanCarey: One more plug for these etymology animations http://t.co/QThyLA3i and my short post about them http://t.co/WNOqHUA3","http://www.mysteriesofvernacular.com/","http://bit.ly/PI3ZtD"
"246661599853690881","","","","","2012-09-14 17:28:02 +0000","web","Why is there an ad in my Twitter stream?  Back to my third-party client, at least until the Twitter alternatives get going..."
"246645659850117120","246033957014093824","19725644","","","2012-09-14 16:24:42 +0000","web","@neiltyson @benpopik The sun sets due west at the equator only at the equinoxes. See, for example: http://t.co/UrlVRL7S …","http://en.wikipedia.org/wiki/Daytime_(astronomy)#At_the_Equator"
"246283126765133824","","","246269390176272385","14167540","2012-09-13 16:24:07 +0000","<a href=""http://www.flipboard.com"" rel=""nofollow"">Flipboard</a>","RT @muskrat_john: 50 Shades of Gray my butt. I count 47, Pantone. What have you done with the missing shades? WHAT HAVE YOU DONE? http:/ ..."
"245713714014220288","","","245316086189408256","20148973","2012-09-12 02:41:29 +0000","<a href=""http://www.flipboard.com"" rel=""nofollow"">Flipboard</a>","RT @LanguageLog: Where's Xi?: Supposing Mitt Romney cancelled all of his appearances and meetings and  went missing for a week. F... htt ..."
"245650634064408576","","","","","2012-09-11 22:30:49 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","I feel twice as old already!"
"245650399611219968","","","245552623925723138","25166438","2012-09-11 22:29:53 +0000","<a href=""http://www.flipboard.com"" rel=""nofollow"">Flipboard</a>","RT @dienekesp: A slower mutation rate has implications... and here they are: I've talked about the implications of a slower mut... http: ..."
"245638813647507456","","","245589150487691264","87016821","2012-09-11 21:43:51 +0000","<a href=""http://www.flipboard.com"" rel=""nofollow"">Flipboard</a>","RT @AptTherapy: How To Make Your Own Book Planters for Succulents --&gt; http://t.co/uoIsNRU7","http://goo.gl/wJkLC"
"244907624229896192","","","","","2012-09-09 21:18:22 +0000","<a href=""http://getprismatic.com"" rel=""nofollow"">getprismatic.com</a>","Technology [, Life Without] http://t.co/zkY1EU4b via @prismatic","http://prsm.tc/HbNWx7"
"244166157668610048","","","243739888141348865","25166438","2012-09-07 20:12:03 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @dienekesp: ASHG 2012 abstracts are online!: There is so much good stuff there. This year I decided against posting the full... http: ..."
"244069706749857792","","","243727324778999808","25166438","2012-09-07 13:48:47 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @dienekesp: The remarkable landscape of polymorphism sharing in modern humans: Once again, I used the Complete Genomics data... http: ..."
"243893357552734208","","","243513976577744897","172207473","2012-09-07 02:08:02 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","RT @AtlasShrugged: Official Atlas Shrugged Part II Trailer: http://t.co/p0cN0Iik #asp2 #aynrand","http://www.atlasshruggedmovie.com"
